booking_id,booking_date,booking_hour,city,vehicle_type,ride_distance_km,fare_amount,payment_method,driver_id,driver_rating,customer_rating,ride_status,cancellation_reason
100000,2024-01-01,6,Bengaluru,Mini,26.79,485.11,Wallet,4788,3.9,4.5,Cancelled,Driver Unavailable
100001,2024-01-01,19,Bengaluru,Bike,18.25,557.28,Wallet,1286,3.9,4.2,Cancelled,Customer Change of Mind
100002,2024-01-01,14,Hyderabad,Bike,7.27,137.49,Wallet,1530,3.7,4.1,Completed,
100003,2024-01-01,10,Delhi,Bike,17.71,176.93,Card,1280,4.7,2.9,Cancelled,High Fare
100004,2024-01-01,7,Mumbai,Mini,6.19,487.05,UPI,2642,2.8,2.9,Completed,
100005,2024-01-01,20,Chennai,Bike,5.08,650.51,UPI,1702,4.3,2.7,Completed,
100006,2024-01-01,6,Mumbai,Sedan,19.97,69.49,UPI,4490,4.2,4.4,Completed,
100007,2024-01-01,18,Delhi,Sedan,28.48,377.18,Wallet,1564,2.7,4.3,Completed,
100008,2024-01-01,22,Bengaluru,Bike,18.07,794.04,Wallet,2572,3.0,4.7,Completed,
100009,2024-01-01,10,Hyderabad,Auto,24.08,624.31,Cash,4942,4.5,4.1,Completed,
100010,2024-01-01,10,Delhi,Auto,5.88,387.64,Wallet,4040,3.1,3.5,Completed,
100011,2024-01-01,23,Pune,Mini,19.97,123.53,Wallet,4626,3.9,4.8,Completed,
100012,2024-01-01,20,Pune,Mini,22.26,319.39,UPI,2410,2.7,4.0,Completed,
100013,2024-01-01,3,Delhi,Sedan,2.21,165.82,Cash,2714,3.1,2.6,Completed,
100014,2024-01-01,7,Chennai,Sedan,3.82,740.58,Cash,3606,4.7,4.7,Completed,
100015,2024-01-01,23,Mumbai,Bike,23.67,564.23,Wallet,2081,3.4,4.7,Completed,
100016,2024-01-01,2,Mumbai,Auto,13.76,691.77,UPI,2257,4.5,4.4,Completed,
100017,2024-01-01,21,Chennai,Sedan,12.76,723.1,Wallet,3007,3.7,4.8,Completed,
100018,2024-01-01,20,Hyderabad,Auto,27.69,505.17,Cash,1130,3.3,3.5,Completed,
100019,2024-01-01,1,Bengaluru,Mini,29.77,54.95,Cash,3630,3.9,4.6,Cancelled,Driver Delay
100020,2024-01-01,23,Bengaluru,Mini,23.17,467.05,UPI,3380,3.8,4.8,Cancelled,High Fare
100021,2024-01-01,11,Pune,Bike,23.99,651.87,UPI,3302,5.0,4.5,Completed,
100022,2024-01-01,5,Hyderabad,Bike,7.04,285.87,Card,3360,3.4,4.3,Completed,
100023,2024-01-01,1,Chennai,Sedan,6.57,745.81,Wallet,3071,4.1,3.4,Completed,
100024,2024-01-02,20,Delhi,Auto,29.44,797.61,Wallet,3661,4.2,3.3,Cancelled,Customer Change of Mind
100025,2024-01-02,0,Mumbai,Sedan,21.16,461.95,Wallet,3013,4.1,4.7,Completed,
100026,2024-01-02,11,Delhi,Sedan,20.91,448.43,Cash,2860,3.7,2.9,Completed,
100027,2024-01-02,21,Mumbai,Auto,9.3,541.39,UPI,3198,4.5,2.6,Completed,
100028,2024-01-02,11,Delhi,Sedan,26.71,474.75,Wallet,2896,4.4,4.1,Completed,
100029,2024-01-02,16,Chennai,Bike,2.29,170.34,UPI,4243,4.9,3.3,Completed,
100030,2024-01-02,9,Chennai,Auto,8.96,253.33,UPI,2845,4.9,4.3,Completed,
100031,2024-01-02,15,Hyderabad,Auto,6.22,201.34,Wallet,4994,3.0,5.0,Completed,
100032,2024-01-02,14,Delhi,Sedan,21.62,104.09,UPI,1702,4.1,3.0,Completed,
100033,2024-01-02,14,Delhi,Auto,21.75,155.29,UPI,1122,4.6,3.3,Completed,
100034,2024-01-02,18,Hyderabad,Bike,16.51,779.25,Cash,1273,4.9,4.0,Completed,
100035,2024-01-02,11,Hyderabad,Bike,1.15,466.24,Wallet,4326,2.9,4.2,Completed,
100036,2024-01-02,22,Chennai,Mini,26.34,144.43,Wallet,1167,4.9,5.0,Completed,
100037,2024-01-02,19,Chennai,Mini,28.71,584.82,Wallet,4155,3.1,3.7,Completed,
100038,2024-01-02,2,Pune,Mini,6.87,407.59,Cash,3373,3.9,3.0,Completed,
100039,2024-01-02,4,Delhi,Mini,25.42,218.5,UPI,3781,4.1,4.7,Completed,
100040,2024-01-02,18,Chennai,Sedan,29.23,757.68,Wallet,2265,4.7,4.3,Completed,
100041,2024-01-02,6,Chennai,Mini,10.48,218.41,Card,2660,4.5,4.0,Completed,
100042,2024-01-02,20,Delhi,Mini,6.37,123.19,Card,3629,4.8,4.7,Completed,
100043,2024-01-02,8,Hyderabad,Mini,29.35,204.33,Cash,1369,4.5,2.7,Completed,
100044,2024-01-02,6,Delhi,Mini,2.73,733.95,Wallet,1272,3.3,3.6,Completed,
100045,2024-01-02,17,Bengaluru,Sedan,9.0,693.35,UPI,4050,2.9,4.7,Completed,
100046,2024-01-02,3,Delhi,Mini,22.52,720.74,Cash,3740,2.9,2.7,Cancelled,Driver Unavailable
100047,2024-01-02,13,Bengaluru,Auto,18.9,737.13,UPI,2955,2.7,3.9,Completed,
100048,2024-01-03,17,Delhi,Bike,20.85,108.12,UPI,2471,4.8,3.3,Completed,
100049,2024-01-03,8,Bengaluru,Auto,21.53,583.5,Card,3170,3.7,3.9,Completed,
100050,2024-01-03,20,Bengaluru,Sedan,20.9,548.39,Wallet,3300,4.9,2.7,Completed,
100051,2024-01-03,1,Delhi,Sedan,10.92,794.68,UPI,3766,4.4,3.9,Completed,
100052,2024-01-03,19,Pune,Sedan,10.03,586.01,UPI,4891,4.9,3.8,Completed,
100053,2024-01-03,14,Chennai,Bike,13.43,644.02,UPI,3896,4.7,2.7,Completed,
100054,2024-01-03,6,Mumbai,Mini,24.42,586.24,UPI,1024,4.0,3.1,Completed,
100055,2024-01-03,11,Chennai,Sedan,28.21,515.44,Cash,4627,3.1,2.8,Completed,
100056,2024-01-03,7,Bengaluru,Mini,14.2,464.77,UPI,2501,3.1,3.7,Cancelled,Driver Unavailable
100057,2024-01-03,14,Delhi,Sedan,3.49,776.95,Card,1490,3.4,3.2,Completed,
100058,2024-01-03,2,Delhi,Bike,28.21,752.26,Cash,1551,2.6,3.8,Completed,
100059,2024-01-03,13,Delhi,Auto,3.33,378.39,Card,3559,4.2,3.9,Completed,
100060,2024-01-03,16,Delhi,Auto,5.61,263.12,UPI,1720,3.9,2.5,Completed,
100061,2024-01-03,3,Pune,Bike,26.16,431.8,Wallet,4012,2.8,4.7,Cancelled,Customer Change of Mind
100062,2024-01-03,17,Mumbai,Mini,16.99,609.59,Card,4962,4.6,2.9,Completed,
100063,2024-01-03,7,Hyderabad,Sedan,11.23,350.71,Wallet,1043,4.6,4.6,Cancelled,Driver Unavailable
100064,2024-01-03,3,Bengaluru,Auto,28.0,452.92,Cash,2455,2.8,3.9,Cancelled,High Fare
100065,2024-01-03,1,Mumbai,Bike,28.85,274.03,Card,4512,3.0,3.1,Completed,
100066,2024-01-03,5,Chennai,Mini,10.59,370.78,UPI,3031,3.1,4.5,Completed,
100067,2024-01-03,21,Hyderabad,Auto,26.18,767.97,UPI,2648,3.8,4.1,Completed,
100068,2024-01-03,9,Hyderabad,Bike,20.68,211.14,Wallet,3345,4.9,4.1,Completed,
100069,2024-01-03,3,Delhi,Sedan,8.96,791.55,Wallet,2001,4.2,3.3,Cancelled,App Issue
100070,2024-01-03,21,Mumbai,Bike,28.3,211.65,Card,4746,4.2,3.5,Completed,
